model;inf_crit;alpha;rho;tau
1101;bic;0,1;1,0;0,4
1102;bic;0,2;1,0;0,4
1103;bic;0,3;1,0;0,4
1104;bic;0,4;1,0;0,4
1105;bic;0,5;1,0;0,4
1106;bic;0,6;1,0;0,4
1107;bic;0,7;1,0;0,4
1108;bic;0,8;1,0;0,4
1109;bic;0,9;1,0;0,4
1110;bic;1,0;1,0;0,4
1201;bic;1,0;0,5;0,4
1202;bic;1,0;0,6;0,4
1203;bic;1,0;0,7;0,4
1204;bic;1,0;0,8;0,4
1205;bic;1,0;0,9;0,4
1206;bic;1,0;1,1;0,4
1207;bic;1,0;1,0;0,4
1208;bic;1,0;1,2;0,4
1209;bic;1,0;1,3;0,4
1210;bic;1,0;1,4;0,4
1211;bic;1,0;1,5;0,4
1301;bic;1,0;1,0;0,4
1302;bic;1,0;1,0;0,4
1303;bic;1,0;1,0;0,4
1401;bic;1,0;1,0;0,2
1402;bic;1,0;1,0;0,6
1403;bic;1,0;1,0;0,8
1404;bic;1,0;1,0;1,0
2101;aic;0,1;1,0;0,4
2102;aic;0,2;1,0;0,4
2103;aic;0,3;1,0;0,4
2104;aic;0,4;1,0;0,4
2105;aic;0,5;1,0;0,4
2106;aic;0,6;1,0;0,4
2107;aic;0,7;1,0;0,4
2108;aic;0,8;1,0;0,4
2109;aic;0,9;1,0;0,4
2110;aic;1,0;1,0;0,4
2201;aic;1,0;0,5;0,4
2202;aic;1,0;0,6;0,4
2203;aic;1,0;0,7;0,4
2204;aic;1,0;0,8;0,4
2205;aic;1,0;0,9;0,4
2206;aic;1,0;1,1;0,4
2207;aic;1,0;1,0;0,4
2208;aic;1,0;1,2;0,4
2209;aic;1,0;1,3;0,4
2210;aic;1,0;1,4;0,4
2211;aic;1,0;1,5;0,4
2301;aic;1,0;1,0;0,4
2302;aic;1,0;1,0;0,4
2303;aic;1,0;1,0;0,4
2401;aic;1,0;1,0;0,2
2402;aic;1,0;1,0;0,6
2403;aic;1,0;1,0;0,8
2404;aic;1,0;1,0;1,0
3101;aicc;0,1;1,0;0,4
3102;aicc;0,2;1,0;0,4
3103;aicc;0,3;1,0;0,4
3104;aicc;0,4;1,0;0,4
3105;aicc;0,5;1,0;0,4
3106;aicc;0,6;1,0;0,4
3107;aicc;0,7;1,0;0,4
3108;aicc;0,8;1,0;0,4
3109;aicc;0,9;1,0;0,4
3110;aicc;1,0;1,0;0,4
3201;aicc;1,0;0,5;0,4
3202;aicc;1,0;0,6;0,4
3203;aicc;1,0;0,7;0,4
3204;aicc;1,0;0,8;0,4
3205;aicc;1,0;0,9;0,4
3206;aicc;1,0;1,1;0,4
3207;aicc;1,0;1,0;0,4
3208;aicc;1,0;1,2;0,4
3209;aicc;1,0;1,3;0,4
3210;aicc;1,0;1,4;0,4
3211;aicc;1,0;1,5;0,4
3301;aicc;1,0;1,0;0,4
3302;aicc;1,0;1,0;0,4
3303;aicc;1,0;1,0;0,4
3401;aicc;1,0;1,0;0,2
3402;aicc;1,0;1,0;0,6
3403;aicc;1,0;1,0;0,8
3404;aicc;1,0;1,0;1,0
4101;hqc;0,1;1,0;0,4
4102;hqc;0,2;1,0;0,4
4103;hqc;0,3;1,0;0,4
4104;hqc;0,4;1,0;0,4
4105;hqc;0,5;1,0;0,4
4106;hqc;0,6;1,0;0,4
4107;hqc;0,7;1,0;0,4
4108;hqc;0,8;1,0;0,4
4109;hqc;0,9;1,0;0,4
4110;hqc;1,0;1,0;0,4
4201;hqc;1,0;0,5;0,4
4202;hqc;1,0;0,6;0,4
4203;hqc;1,0;0,7;0,4
4204;hqc;1,0;0,8;0,4
4205;hqc;1,0;0,9;0,4
4206;hqc;1,0;1,1;0,4
4207;hqc;1,0;1,0;0,4
4208;hqc;1,0;1,2;0,4
4209;hqc;1,0;1,3;0,4
4210;hqc;1,0;1,4;0,4
4211;hqc;1,0;1,5;0,4
4301;hqc;1,0;1,0;0,4
4302;hqc;1,0;1,0;0,4
4303;hqc;1,0;1,0;0,4
4401;hqc;1,0;1,0;0,2
4402;hqc;1,0;1,0;0,6
4403;hqc;1,0;1,0;0,8
4404;hqc;1,0;1,0;1,0
